Job Title,Company,Description,Minimum Qualification,Skills Required,Skillmentequired,Location,Work Type,Years of Experience,Category,Department,DeptNorm,Url,Source
Business Development Account Specialist (Nairobi and North Eastern) at Safaricom Kenya,Safaricom Kenya,"Responsibilities
Health and Safety; Uphold the company code of conduct, policies and procedures, ensuring integrity and accountability in every aspect of your work and adhere to safety, health, and wellbeing policies, guidelines and procedures in all actions and decisions.
Achieve set revenue targets through new sales, up-selling, and cross-selling to enterprise customers.
Identify and develop growth opportunities within the target market.
Drive adoption of relevant market propositions and execute strategic relationship plans.
Manage customer accounts through pipeline development, opportunity tracking, and sales performance rigor.
Build and maintain strong CXO and buying center relationships to support long-term customer goals.
Ensure customer retention via contract management, churn prevention, and proactive issue resolution.
Prepare and maintain up-to-date account development plans and sales cycle documentation.
Leverage company platforms (events, activities) for relationship-building and market penetration.
Ensure timely and accurate reporting (daily, weekly, monthly) and strict use of CRM systems.
Foster positive customer experiences to drive Net Promoter Score (NPS) through consistent relationship management and problem resolution.
Uphold company values of Speed, Simplicity, and Trust in all engagements.
Qualifications
Bachelor’s degree in commerce, ICT, or a business-related field.
4 years and above sales experience in ICT, IoT or Tech Solutions, managing enterprise accounts in a B2B or B2G environment, preferably in the ISP sector.
Prior experience in ICT solutions for corporate, healthcare, humanitarian, or service industries is an advantage.
Strong relationship management skills, ideally from a large or blue-chip organization.
Proven ability to meet and exceed sales targets and drive business growth.
Strong business development and solution-selling capabilities.
Commercial acumen with a clear understanding of enterprise sales processes.",Qualifications,"Strong relationship management skills, ideally from a large or blue-chip organization.","Strong relationship management skills, ideally from a large or blue-chip organization.",,Unclear,Foster positive customer experiences to drive Net Promoter Score (NPS) through consistent relationship management and problem resolution.,,Business,Business,https://www.myjobmag.co.ke/job/business-development-account-specialist-nairobi-and-north-eastern-safaricom-kenya,MyJobMag
Renal Dialysis Nurse at Nairobi Adventist Hospital,Nairobi Adventist Hospital,"Job purpose
The Dialysis Nurse will be responsible for providing specialized nursing care to patients undergoing dialysis treatment. The role involves monitoring patients before, during, and after dialysis, ensuring safe and effective procedures, managing dialysis equipment, and educating patients on renal care and treatment plans.
Duties and responsibilities
Assess patients before, during, and after dialysis treatment.
Operate and monitor dialysis machines safely and effectively.
Observe and manage complications during dialysis sessions.
Administer prescribed medications and treatments.
Educate patients on kidney care, diet, and treatment plans.
Maintain infection control and properly document patient care
Qualifications
Have a Diploma in Nursing or a Bachelor of Science Nursing from a Recognized Institution.
Higher Diploma or Certificate in Nephrology/Renal Nursing.
Be registered and gave a valid license from the Nursing Council of Kenya. (NCK)
Have a Basic Life Support (BLS) and Advanced Cardiac Life Support (ACLS) Certification.
Have a minimum of 2-3 years of nursing experience and at-least 1-2 years in a dialysis unit/critical care renal setting.
Strong clinical assessment and emergency response skills.
Competence in dialysis machine operation and renal care technology.
Excellent communication, teamwork, compassion, and patient education abilities.
Skills
Excellent communication and interpersonal skills
Strong teamwork and collaboration abilities
Computer literacy
Ability to work independently while prioritizing tasks
High level of attention to detail and patient safety
Compassionate and patient-centered approach to care",Qualifications,Strong clinical assessment and emergency response skills.,Strong clinical assessment and emergency response skills.,,Unclear,Have a minimum of 2-3 years of nursing experience and at-least 1-2 years in a dialysis unit/critical care renal setting.,,Healthcare & Medical,Healthcare & Medical,https://www.myjobmag.co.ke/job/renal-dialysis-nurse-nairobi-adventist-hospital,MyJobMag
Head Of Department - Science at Aga Khan Academy,Aga Khan Academy,"Duties and Responsibilities
Exercise leadership as an exemplary role model in subject teaching, professionalism, professional development and administration of the department.
Develop and implement clear departmental goals consistent with school-wide goals and specific programme and assessment requirements.
Encourage the development of sound and shared pedagogy amongst the members of the department.
Prepare a Professional development plan for the department.
Participate in the appraisal of the members of the department.
Take a lead in the curriculum development and improvement for the various programs offered in the Senior School.
Establish an assessment procedure and programme.
Generate an annual budget for the department.
Collaborate with other HODs in developing a strong team of curriculum leaders.
Establish clear goals for year level collaboration and for general collaboration in the department, across.
The requirements
A bachelor’s degree with teaching qualification from a recognized University.
At least 5 years of experience teaching MYP or DP Level
Registered with Kenya Teachers Service Commission (TSC)
Demonstrated ability to run a well-organized departmental meeting.
Demonstrated interest in developing reflective practice and connections across disciplines.
Ability to supervise and mentor faculty.
Good communication and interpersonal skills in relating to parents, students and other teachers.
Good collegial relationships with other faculty members.",A bachelor’s degree with teaching qualification from a recognized University.,"Good communication and interpersonal skills in relating to parents, students and other teachers.","Good communication and interpersonal skills in relating to parents, students and other teachers.",,Unclear,At least 5 years of experience teaching MYP or DP Level,,Healthcare & Medical,Healthcare & Medical,https://www.myjobmag.co.ke/job/head-of-department-science-aga-khan-academy,MyJobMag
"English Teacher with Film/Media at Aga Khan Education Service, Kenya (AKESK)","Aga Khan Education Service, Kenya (AKESK)","Role Summary
The Teacher will deliver engaging and rigorous Film/Media education across the IB Middle Years Programme (MYP) and Diploma Programme (DP) at Aga Khan Academy, Nairobi – Senior School. The role focuses on developing students’ creative, technical and analytical understanding of Film/Media through inquiry-based learning and practical production. The teacher will support students in conceptual development, film-making skills and assessment, while contributing to our vibrant, collaborative and internationally-minded educational programme.
Key Responsibilities:
Plan, deliver and assess Film/Media lessons aligned with the IB MYP and IB DP Film courses.
Teach film and media theory, history and critical analysis, enabling students to analyse films from diverse perspectives.
Guide students through all stages of film production (e.g. scripting, storyboarding, filming, sound, and editing).
Support students in developing and submitting high-quality IB internal and external assessments, including portfolios, comparative studies and collaborative film and media projects.
Integrate IB Approaches to Teaching and Learning (ATL) skills, inquiry-based learning and reflective practice into highly effective classroom instruction.
Provide constructive feedback and mentorship to support students’ creative growth and strong academic progress.
Maintain accurate records of student progress, assessment data and reporting in line with the IB and school requirements.
Collaborate with colleagues to contribute to interdisciplinary learning, curriculum planning and the wider arts programme.
Support co-curricular activities, exhibitions and school productions related to film and media.
Uphold safeguarding, health & safety standards and contribute positively to the AKAN ethos.
The requirements
 Qualifications and Experience:
Bachelor’s degree in English with Postgraduate qualifications in Film or Media and Communications.
An interest in Film, Media Studies, Film Production and/or Technology, or a related field.
Teachers Service Commission (TSC) registration certificate.
1 to 2+ years’ experience teaching English and/or Film/Media within the IB MYP and/or IB DP, or comparable curriculum",,"The Teacher will deliver engaging and rigorous Film/Media education across the IB Middle Years Programme (MYP) and Diploma Programme (DP) at Aga Khan Academy, Nairobi – Senior School. The role focuses on developing students’ creative, technical and analytical understanding of Film/Media through inquiry-based learning and practical production. The teacher will support students in conceptual development, film-making skills and assessment, while contributing to our vibrant, collaborative and internationally-minded educational programme.","The Teacher will deliver engaging and rigorous Film/Media education across the IB Middle Years Programme (MYP) and Diploma Programme (DP) at Aga Khan Academy, Nairobi – Senior School. The role focuses on developing students’ creative, technical and analytical understanding of Film/Media through inquiry-based learning and practical production. The teacher will support students in conceptual development, film-making skills and assessment, while contributing to our vibrant, collaborative and internationally-minded educational programme.",,Unclear,,,Education,Education,https://www.myjobmag.co.ke/job/english-teacher-with-film-media-aga-khan-education-service-kenya-akesk,MyJobMag
Vacancies at Bridge Talent Management,Bridge Talent Management,"Job Overview
Our client is a distinguished hospitality company operating within the luxury hotel sector, offering premium accommodation, dining, and guest experiences. The organization specializes in an Italian culinary concept, and is known for its commitment to exceptional culinary standards, refined service delivery, and the use of high-quality ingredients to create memorable dining experiences for guests.
They are currently looking for an experienced Sous Chef to support the Executive Chef in managing kitchen operations, maintaining five-star culinary standards, and leading the kitchen team to deliver exceptional dishes consistently. The ideal candidate should have experience working in the same position or as a Senior Chef de Partie in a five-star establishment, possess strong leadership skills, and demonstrate well-rounded expertise across all sections of the kitchen.
Key Responsibilities
Support the Executive Chef in overseeing daily kitchen operations to ensure the highest culinary standards expected in a five-star hospitality environment are maintained always.
Supervise and guide junior chefs, including Chef de Parties, Demi Chef de Parties, and Commis Chefs, ensuring proper training, discipline, and performance within the kitchen team.
Demonstrate strong leadership by organizing kitchen operations efficiently, delegating responsibilities appropriately, and ensuring smooth coordination across all kitchen sections.
Ensure all dishes are prepared and presented according to the hotel’s strict quality, taste, and plating standards.
Act as an all-rounder in the kitchen by supporting and overseeing all sections including hot kitchen, cold kitchen, pastry, garde manger, and butchery where necessary.
Participate in menu engineering and menu development, ensuring dishes are innovative, cost-effective, and aligned with the hotel’s culinary concept and guest expectations.
Oversee food plating and presentation to ensure every dish leaving the kitchen reflects the refined standards of a luxury hospitality establishment.
Monitor and control food costs, portioning, and wastage to ensure kitchen operations remain within the allocated budget.
Ensure strict adherence to HACCP standards and food safety regulations, maintaining the highest levels of hygiene and sanitation within the kitchen.
Conduct routine inspections of kitchen operations to ensure compliance with health, safety, and hygiene requirements.
Manage inventory levels, coordinate with the store and procurement teams, and ensure that ingredients and supplies are always available for kitchen operations.
Assist in planning and executing special events, banquets, and high-volume service periods while maintaining consistent quality standards.
Train and mentor junior kitchen staff to enhance their culinary skills, productivity, and knowledge of luxury hospitality standards.
Step in to lead kitchen operations in the absence of the Executive Chef and ensure smooth service delivery.
Requirements
Key Qualifications
Proven experience as a Sous Chef or Senior Chef de Partie in a five-star hotel or luxury hospitality establishment.
Strong leadership and team management skills with the ability to supervise and motivate a diverse kitchen team.
Well-rounded culinary expertise with knowledge and practical experience across multiple kitchen sections.
Strong understanding of menu engineering, menu planning, and modern food plating techniques.
Solid knowledge of HACCP standards, food safety regulations, and kitchen hygiene practices.
Demonstrated experience in food cost control, portion control, and minimizing wastage.
Ability to work effectively in a fast-paced, high-pressure kitchen environment while maintaining attention to detail.
Culinary diploma or certification in Food Production, Culinary Arts, or a related field.
Key Competencies
Leadership and team supervision
Advanced culinary skills
Menu development and menu engineering
Food cost management
HACCP compliance and food safety
Attention to detail and food presentation
Ability to work under pressure in a high-end kitchen environment
go to method of application »",Key Qualifications,"They are currently looking for an experienced Sous Chef to support the Executive Chef in managing kitchen operations, maintaining five-star culinary standards, and leading the kitchen team to deliver exceptional dishes consistently. The ideal candidate should have experience working in the same position or as a Senior Chef de Partie in a five-star establishment, possess strong leadership skills, and demonstrate well-rounded expertise across all sections of the kitchen.","They are currently looking for an experienced Sous Chef to support the Executive Chef in managing kitchen operations, maintaining five-star culinary standards, and leading the kitchen team to deliver exceptional dishes consistently. The ideal candidate should have experience working in the same position or as a Senior Chef de Partie in a five-star establishment, possess strong leadership skills, and demonstrate well-rounded expertise across all sections of the kitchen.",,Unclear,"Our client is a distinguished hospitality company operating within the luxury hotel sector, offering premium accommodation, dining, and guest experiences. The organization specializes in an Italian culinary concept, and is known for its commitment to exceptional culinary standards, refined service delivery, and the use of high-quality ingredients to create memorable dining experiences for guests.",,Business,Business,https://www.myjobmag.co.ke/jobs/sous-chefs-5-star-hotel-at-bridge-talent-management,MyJobMag
Country Project Lead at Living Goods,Living Goods,"The Country Project Lead will represent Living Goods in high-level coordination forums, partnerships, and consortium engagements, ensuring strong alignment, visibility, and effective collaboration across all stakeholders involved in the project.
Roles and Responsibilities:
Strategic Leadership & Project Direction (Regional)
Provide overall strategic leadership for the project across Kenya, Tanzania, Malawi, and Burkina Faso, ensuring alignment with the donor objectives, Living Goods’ strategy, and country-specific priorities.
Lead coordination across Living Goods cross-functional teams (Programs, Digital Health, PS&E, Grants & Compliance, Finance, and Business Development) and consortium partners to ensure cohesive and integrated project delivery.
Guide the development, alignment, and periodic review of country-level strategies to ensure coherence with the overall regional project vision and results framework.
Ensure the project remains responsive to evolving external contexts, policy shifts, and implementation realities across countries, recommending timely strategic pivots in collaboration with the Senior Director, Upskilling & Performance Management.
Country-Level Strategy & Leadership (Kenya-Specific)
Serve as the overall Country Project Lead for Kenya, providing leadership for in-country project implementation in close collaboration with the Living Goods Country Director, government counterparts, and consortium partners.
Lead the co-creation of the Kenya country strategy and implementation approach, ensuring strong alignment with national priorities and government digital and performance management agendas.
Develop and oversee annual workplans, budgets, and delivery milestones for Kenya, ensuring alignment with regional objectives and donor commitments.
Define and track clear deliverables and performance milestones for the Kenya project, ensuring accountability and results orientation at all levels of implementation.
Project Management & Implementation Oversight (Regional & Kenya)
Oversee effective end-to-end implementation of project activities across all participating countries, with a particular focus on digital solutions, and performance management systems.
Ensure high-quality execution through structured planning, risk management, and proactive problem solving, integrating best practices and lessons learned across countries.
Monitor project performance against agreed indicators and milestones, initiating timely corrective actions to address implementation bottlenecks or underperformance.
Ensure project teams are appropriately staffed, skilled, and supported; identify capacity gaps and coordinate with relevant functions to address them.
Foster a culture of performance excellence, accountability, and continuous learning across country teams and consortium partners.
Ensure systematic documentation, synthesis, and dissemination of project learnings, innovations, and best practices to inform scale-up and sector influence.
External Engagement, Partnerships & Representation (Regional & Kenya)
Represent Living Goods and the project in high-level engagements with governments, consortium partners, donors, and other key stakeholders at national and regional levels.
Build, manage, and strengthen strategic relationships with consortium members, ensuring effective collaboration, role clarity, and shared accountability for results.
Proactively position and brand Living Goods as a credible technical partner and leader in digital health, CHW upskilling, and performance management.
Identify emerging needs, partnership opportunities, and avenues for influence that advance project goals and Living Goods’ strategic positioning.
Ensure consistent, clear, and strategic communication of project progress, challenges, successes, and lessons learned in line with agreed communication and visibility plans.
Reporting, Grant Management & Compliance (Regional – All Countries)
Provide overall oversight for grant management, reporting, and compliance across all supported countries, ensuring adherence to donor requirements and Living Goods policies.
Ensure timely, accurate, and high-quality narrative and financial reporting to the donor, coordinating inputs from country teams and support functions.
Manage project budgets and resources effectively, ensuring value for money, transparency, and full compliance with financial and procurement guidelines.
Lead project risk identification, monitoring, and mitigation, escalating critical issues as needed and ensuring proactive management.
Strengthen internal capacity on grant management, compliance, and reporting through coaching, guidance, and structured support to country teams.
Education and Experience:
Bachelor’s degree in social sciences, public health, business administration, Information Technology, Project Management, or a related field. A master’s degree in related field is preferred or equivalent.
Certifications: Project Management Professional (PMP) or similar certification is desirable
At least 15 years' work experience in the health sector programmes (Community Health is preferred) in senior leadership positions with at least 7 of which must be at a Strategic level in project management, and digital transformation or digital health.
Proven track record of leading/managing complex projects, especially those including digital initiatives.
Experience in the non-profit sector or international development with restricted grants is a must.",,,,,Unclear,,"Lead coordination across Living Goods cross-functional teams (Programs, Digital Health, PS&E, Grants & Compliance, Finance, and Business Development) and consortium partners to ensure cohesive and integrated project delivery.",Business,Business,https://www.myjobmag.co.ke/job/country-project-lead-living-goods,MyJobMag
Careers at World Vision Kenya,World Vision Kenya,"JOB PURPOSE:
This role leads the sponsor experience vision and strategy for World Vision’s Sponsor App and Portal - the primary digital touchpoints for deepening sponsor relationships. By shaping a future-facing digital journey, this role ensures sponsors are inspired, engaged, and connected to the children and communities they support.
Acting as the sponsor’s advocate, the role translates insights, content, and engagement trends into a compelling experience roadmap. It partners with Support Offices, digital enablement, and technical teams to bring sponsor experience priorities to life. Beyond features and functions, this role focuses on storytelling, emotional connection, and impact - creating digital journeys that foster loyalty and retention.
While the App and Portal are the primary focus (90%), the role also ensures they connect seamlessly with Support Office digital opportunities (10%), strengthening cohesion and creating a unified sponsor journey across touchpoints.
KEY RESPONSIBILITES:
Shape Sponsor Experience Vision & Strategy
End Results
A clear, future-focused vision for the Sponsor App & Portal is developed and championed.
Sponsor journeys are inspiring, intuitive, and aligned with WV’s mission and brand.
Stakeholders rally around a shared digital engagement roadmap that balances sponsor needs and organizational goals.
Lead Sponsor Insights & Engagement Design
End Results
Sponsor insights, research, and feedback directly shape digital journeys and priorities.
Sponsors experience deeper connection, trust, and retention through meaningful interactions.
Sponsor needs are consistently translated into engaging, value-driven experiences.
Guide Content & Impact Storytelling Strategy
End Results
Digital experiences bring the sponsorship story arc (problem, plan, progress) to life in compelling ways.
Content strategies highlight transformation, impact, and sponsor value, creating emotional resonance.
Best practices are established for integrating storytelling seamlessly into the app and portal.
Drive Collaboration with Support Offices (SOs)
End Results
SOs are aligned on common goals and actively shape the sponsor experience strategy.
Global collaboration frameworks ensure balance between consistency and local flexibility.
SOs feel ownership and shared accountability in delivering outstanding sponsor experiences.
Champion Innovation, Measurement & Optimization
Digital engagement trends are translated into meaningful, future-ready improvements.
Sponsor experience KPIs (e.g., engagement, satisfaction, retention) are defined and tracked.
Data-driven insights continuously inform refinements and innovation across the platform.
REQUIRED PROFESSIONAL EXPERIENCE:
Bachelor’s or Master’s in Digital Product Strategy, Marketing, Communications, Human-Centered Design, or related field. Equivalent relevant experience considered.
7+ years in digital product strategy, customer/sponsor engagement, or related roles.
Proven success shaping user/customer journeys that deliver measurable outcomes.
Strong track record translating insights into digital experiences that drive emotional connection and retention.
Demonstrated ability to influence and align cross-functional, multi-market stakeholders.
Experience in donor/customer engagement or mission-driven contexts is a strong advantage.
LANGUAGE REQUIREMENTS:
Excellent written and spoken English
TRAVEL AND/OR WORK ENVIRONMENT:
Travel is up to 15%
Standard office environment with remote collaboration tools; flexibility for virtual design/testing workshops across regions
PREFERRED KNOWLEDGE AND QUALIFICATIONS:
Visionary thinker with the ability to define and inspire long-term digital engagement strategies.
Strong storyteller with the ability to shape content into engaging sponsor journeys.
Skilled collaborator across technical, creative, and engagement teams.
Analytical and data-driven, comfortable with KPIs and continuous improvement.
Globally minded, able to navigate cultural differences and work across time zones.
go to method of application »",,,,,Unclear,"This role leads the sponsor experience vision and strategy for World Vision’s Sponsor App and Portal - the primary digital touchpoints for deepening sponsor relationships. By shaping a future-facing digital journey, this role ensures sponsors are inspired, engaged, and connected to the children and communities they support.","Acting as the sponsor’s advocate, the role translates insights, content, and engagement trends into a compelling experience roadmap. It partners with Support Offices, digital enablement, and technical teams to bring sponsor experience priorities to life. Beyond features and functions, this role focuses on storytelling, emotional connection, and impact - creating digital journeys that foster loyalty and retention.",Information Technology,Information Technology,https://www.myjobmag.co.ke/jobs/digital-experience-strategy-manager-sponsor-app-portal-at-world-vision-kenya-2,MyJobMag
Jobs at AGL- Africa Global Logistics,AGL- Africa Global Logistics,"Mission Description                      
Prevent theft and damage to Company property
Ensure regular rotation of sub-contracted security guards.
Ensure all reported incidents are logged on the occurrence book and reported to the relevant person and proper action taken
Liaise with the local police on any alleged intrusion into the premises or company/client cargo and follow up the case to conclusion
Ensure all security procedures are followed by all employees and Clients within the premises
Ensure all access points and control rooms are properly manned
Ensure all security gadgets/tools/equipment are in good working condition eg fence, alarms, CCTV
Maintain records of all main door keys and ensure safe custody of the same.
Ensure all items leaving the premises are accompanied by the relevant authorization documents and gate pass.
Qualifications
Diploma in criminology or relevant courses.
Experience in law enforcement
Computer Literacy
Experience
Minimum 3 years
go to method of application »",Qualifications,,,,Unclear,Experience in law enforcement,,Aviation & Logistics,Aviation & Logistics,https://www.myjobmag.co.ke/jobs/jobs-at-agl-africa-global-logistics-7,MyJobMag
Vacancies at Medecins Sans Frontieres (MSF),Medecins Sans Frontieres (MSF),"Rationale/Objective for Position
The Quality-of-Care Advisor provides strategic, technical, and operational support to strengthen the patient’s safety, quality of care and clinical governance across MSF Ubuntu Programs, in line with MSF International medical standards and MSF Ubuntu key approaches, emphasizing community participation, local partnerships and sustainable solutions. The role focuses on promoting a person-centered, respectful, safe, effective and ethical care embedded into routine practice among all MSF Ubuntu programs and departments.
Tasks & Responsibilities
Strategic and Technical Leadership
Develop and implement MSF Ubuntu ‘clinical governance’ approach, patient safety and quality of care framework and strategies in alignment with MSF International quality of care standards and policies.
Define, develop (or adapt), and implement patient safety and quality of care reporting, monitoring, quality of care systems and tools, e.g. Patient Charter, Patient Safety incident reporting, minimal standards monitoring etc., closely working with the relevant thematic specialists, and the medical department.
Support MSF SPARC quality of care initiatives in MSF Ubuntu, monitoring and reporting.
Together with the Medical Director, develop a ‘Patient Safety and Clinical Governance/QoC committee’ for MSF Ubuntu, and coordinate the committee’s activities, including reporting to MSF Ubuntu MT.
As a member of MSF Ubuntu’s Medical department, actively engage and contribute to MSF Ubuntu’s medical operational vision, strategies and programming.
Technical and Operational Support
Support country program teams on integrating patient safety, quality of care standards and quality improvement plans into the project design and routine monitoring.
Support programs on quality monitoring and reporting, quality improvements plans (QIPs), patient safety incidence management.
Visits to country programs on regular basis to support the teams in analyzing patient safety and QoC and provide direct support for improvements.
Patient Safety and QoC monitoring, analysis, and learning
Support the use of patient feedback, experience surveys and routine indicators to inform patient safety and quality of care improvements.
Conduct periodic clinical audits and comprehensive analysis and reporting of patient safety and quality of care data across MSF Ubuntu programs (including individual programs), findings translating towards learning and improvement plans.
Initiate and lead innovation and operational research on clinical governance thematics for evidence-based practices, institutional learning and benefit for MSF programs.
Representation and Coordination
Represent MSF Ubuntu in inter-sectional MSF Quality Alliance network/groups and technical platforms.
Support in leading specific thematics and/or projects as per the agreed workplan, including active participation.
Capacity Building and People Management
Support recruitment, mentoring, and development of staff and pools, as required.
Working with L&D, support knowledge sharing, and mentoring relevant staff, including the development of patient safety, quality of care training materials, when required.
Facilitate learning through conducting workshops, webinars, community of practice sessions for programs and HQ staff.
Build capacity of program teams on patient safety and quality of care culture and standards, systems and tools etc.
Qualifications
Education
A qualified Degree in Medicine or Nursing is essential; Master of Clinical Leadership or Governance is an advantage.
Fluency/excellent level of written and spoken English, knowledge of French is an advantage.
Excellent knowledge and experience in cross/multicultural communication and collaboration.
Experience
At least five (5) years of relevant professional experience with MSF or international medical-humanitarian organizations as a ‘Health or Medical coordinator (deputy)’ or QoC implementer or patient safety manager is essential.
Experience in developing and implementing ‘Health care clinical governance’, ‘Patient Safety’ and ‘Quality of care’ policies, standards, practices and culture is essential.
Commitment to and experience of advancing multicultural collaboration, learning, equity, diversity, and inclusion in the workplace.
Competencies 
Technical Competencies
Excellent skills in Office Suite (advanced MS Excel and others).
Ability to produce high quality, succinct actionable reports with clear recommendations.
Excellent written and presentation skills across audiences of diverse backgrounds.
Behavioral/General Competencies
Commitment to MSF’s Principles
Cross-cultural Awareness
Strategic Vision
Results and Quality Orientation
Service Orientation
Planning and Organizing
Initiative and Innovation
Teamwork and Cooperation
People Management and Development
Networking and Building Relationships
Security awareness and Management
go to method of application »",Qualifications,Excellent skills in Office Suite (advanced MS Excel and others).,Excellent skills in Office Suite (advanced MS Excel and others).,,Unclear,"Support the use of patient feedback, experience surveys and routine indicators to inform patient safety and quality of care improvements.",,Information Technology,Information Technology,https://www.myjobmag.co.ke/jobs/vacancies-at-medecins-sans-frontieres-msf-22,MyJobMag
Quality Assurance Officer at Amref International University (AMIU),Amref International University (AMIU),"PURPOSE OF THE JOB 
The Quality Assurance Officer is responsible for supporting the development, implementation, monitoring, and continuous improvement of quality assurance systems and processes across Amref International University (AMIU). The role ensures that academic programmes, institutional operations, and governance frameworks comply with the standards and guidelines set by the Commission for University Education (CUE), professional bodies, and other relevant regulatory authorities. The Officer plays a key role in promoting a culture of quality and excellence throughout the University. 
 KEY RESPONSIBILITIES AND ACTIVITIES 
 Quality Systems Development and Implementation 
Support the development, review, and implementation of the University's Quality Assurance Policy Framework and related procedures. 
Assist in developing and updating quality assurance manuals, guidelines, templates, and tools for use across all University departments. 
Coordinate the integration of quality management systems into academic and administrative operations. 
Support the rollout of institutional quality standards in alignment with CUE guidelines and international best practices. 
 Academic Quality Assurance 
Support the design, accreditation, review, and benchmarking of academic programmes in line with CUE and professional body standards. 
Coordinate internal programme reviews and assist faculties in preparing programme self-evaluation reports. 
Monitor the implementation of approved programme curricula and ensure alignment with learning outcomes. 
Facilitate curriculum development workshops and ensure quality standards are embedded at the programme design stage. 
Maintain up-to-date records of all approved academic programmes and their accreditation status. 
Assist in tracking implementation of recommendations arising from programme reviews and external evaluations. 
 Institutional Audits and Compliance 
Coordinate the preparation for external audits, institutional self-evaluation reports for CUE and other external accreditation processes. 
Liaise with regulatory and accreditation bodies on matters of compliance, inspections, and certification. 
Track and follow up on recommendations arising from external audits and accreditation processes. 
Compile and maintain an accreditation register for all academic programmes and institutional compliance requirements. 
 Internal Audit and Compliance Monitoring 
Plan and conduct internal quality audits of academic departments, support units, and administrative functions. 
Prepare internal audit reports and follow up on the implementation of corrective and preventive actions. 
Monitor compliance with University policies, academic regulations, and statutory requirements. 
Develop and maintain a quality compliance calendar and tracking system. 
 Student and Stakeholder Feedback Management 
Coordinate the design and administration of student satisfaction surveys, course evaluation tools, and graduate tracer studies. 
Analyse feedback data and prepare reports with recommendations for academic and service improvement. 
Support the management of student complaints and appeals in accordance with University policy. 
Liaise with students, staff, and external stakeholders on quality-related matters. 
 Teaching and Learning Quality 
Support the monitoring of teaching quality through structured peer reviews, classroom observations, and lecturer evaluation processes. 
Collaborate with schools/departments/directorates/institutes to ensure quality in course delivery, assessment, and student support services. 
Support the induction of new academic staff on quality assurance expectations and procedures. 
 Data Management and Reporting 
Maintain comprehensive and accurate records of quality assurance activities, reports, and institutional performance data. 
Prepare periodic quality assurance reports for the Director, University Management, Senate, and Council as required. 
Support the compilation of institutional data for external rankings, performance reviews, and regulatory submissions. 
Contribute to the University's annual quality improvement plan and performance review processes. 
 Capacity Building and Quality Culture 
Develop and facilitate internal training programmes on quality assurance standards, tools, and best practices for staff. 
Champion a culture of continuous quality improvement across all University departments. 
Disseminate best practices in quality assurance and contribute to awareness campaigns on quality standards. 
Qualifications
 QUALIFICATIONS AND EXPERIENCE 
Minimum Academic Qualifications 
Bachelor’s degree in Education, Monitoring and Evaluation, Management, Public Administration, or a related field from a recognized institution university. 
Additional certification or training in quality management systems (e.g., ISO 9001, Total Quality Management) will be an added advantage. 
Professional Experience 
A minimum of five (5) years of relevant experience in quality assurance, monitoring and evaluation, academic administration, or institutional planning, or a related role in a university or reputable institution preferably in a higher education institution. 
Demonstrated knowledge of quality assurance systems and practices in higher education. 
Familiarity with university regulatory, accreditation, and compliance requirements. 
Proficiency in data analysis, report writing, and use of relevant digital tools and office applications. 
Demonstrated experience in coordinating accreditation processes, internal audits, or curriculum review activities. 
Experience working with regulatory bodies such as CUE or comparable authorities is highly desirable. 
 KEY ATTRIBUTES, COMPETENCIES AND PERSONAL QUALITIES 
Technical Competencies 
Thorough understanding of quality assurance frameworks and standards applicable to higher education in Kenya and internationally. 
Solid knowledge of CUE regulations, standards, and accreditation requirements. 
Proficiency in data collection, analysis, and report writing. 
Competence in the use of Microsoft Office Suite and quality management software tools. 
Ability to design, conduct, and analyse surveys, feedback tools, and institutional assessments. 
Leadership and Professional Attributes 
High personal integrity and professional conduct, with a strong commitment to ethics and confidentiality. 
Results-oriented and able to manage multiple priorities within set deadlines. 
Strong analytical and critical thinking skills with attention to detail. 
Excellent written and verbal communication skills, including the ability to prepare clear technical reports and present findings to diverse audiences. 
Proactive, self-driven, and capable of working independently and as part of a team. 
Interpersonal and Organisational Skills 
Strong stakeholder engagement and relationship-building skills. 
Ability to facilitate consultative processes, workshops, and training sessions effectively. 
Capable of influencing and driving institutional change without direct authority. 
Cultural sensitivity and ability to work effectively in a diverse academic environment. 
Commitment to continuous learning and professional development in quality assurance.",Qualifications,Strong analytical and critical thinking skills with attention to detail.,Strong analytical and critical thinking skills with attention to detail.,,Unclear,QUALIFICATIONS AND EXPERIENCE,"Plan and conduct internal quality audits of academic departments, support units, and administrative functions.",Education,Education,https://www.myjobmag.co.ke/job/quality-assurance-officer-amref-international-university-amiu,MyJobMag
